CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"29,837","22,271","9,73,043",10.69,117.00,-97.15,75,117.25,117.85,150,"22,850.00",75,169.60,170.70,150,47.00,169.60,13.90,"10,06,439","1,137","16,247",
,"75,425","27,076","16,43,347",10.73,95.00,-89.45,75,95.00,96.00,150,"22,900.00",225,197.05,199.60,300,56.40,199.60,14.10,"13,15,284","-6,026","43,351",
,"29,325","16,861","7,19,596",10.76,76.45,-81.20,600,76.00,77.00,300,"22,950.00",75,228.00,230.55,150,61.95,228.10,14.15,"2,92,374","2,191","12,602",
,"1,38,974","40,239","16,84,587",10.88,61.05,-72.20,600,59.85,61.05,675,"23,000.00",150,261.20,266.75,150,71.20,262.05,14.17,"5,27,491","-6,171","77,294",
,"30,947","20,846","5,50,903",10.85,47.15,-63.80,300,46.60,47.50,300,"23,050.00",150,299.05,300.35,150,79.15,298.95,14.45,"46,852",146,"3,310",
,"1,12,074","73,229","9,71,327",10.79,35.55,-56.30,"1,575",35.40,36.00,900,"23,100.00",225,337.00,342.65,75,93.10,342.55,15.25,"91,967","-1,322","15,796",
,"25,128","16,112","4,96,093",10.90,27.50,-47.30,600,27.45,27.90,600,"23,150.00",150,378.65,384.45,75,96.60,379.95,15.27,"14,014",117,"1,605",
,"84,634","20,823","12,15,485",11.04,20.85,-39.10,750,20.85,21.30,600,"23,200.00",150,421.85,426.95,225,108.50,426.00,16.11,"46,812","-1,710","24,502",
,"31,292","17,201","4,97,649",11.04,15.55,-32.60,150,15.55,16.10,600,"23,250.00",75,466.55,471.00,750,104.55,461.65,15.58,"3,973",-251,"1,500",
,"65,876","14,139","9,53,155",11.22,11.95,-26.15,"1,350",11.95,12.35,450,"23,300.00",75,512.65,518.40,375,117.50,512.55,16.85,"19,795","-1,240","15,875",
,"22,205","10,545","4,19,665",11.43,9.30,-20.50,600,9.10,9.30,450,"23,350.00",150,560.05,567.50,150,123.05,559.35,17.54,"1,039",7,"1,293",
,"67,007","24,533","7,67,426",11.55,7.10,-16.00,75,6.95,7.10,525,"23,400.00",600,606.95,614.60,75,130.75,611.00,18.36,"5,771","-1,011","11,249",
,"29,375","21,566","3,88,227",11.82,5.55,-12.40,"2,100",5.50,5.80,600,"23,450.00",675,655.60,664.60,300,129.00,657.65,19.45,369,-127,945,
,"1,32,639","9,179","8,57,926",12.05,4.35,-9.55,"1,200",4.40,4.65,300,"23,500.00",150,705.70,710.00,300,137.75,709.00,20.71,"15,260","-1,019","42,442",
,"24,490","13,099","3,31,607",12.47,3.60,-7.30,"1,200",3.60,3.80,600,"23,550.00",375,752.90,761.45,75,124.10,744.00,19.21,211,-116,"1,321",
