CALLS,PUTS,OI_CALL,CHNG_IN_OI_CALL,VOLUME_CALL,IV_CALL,LTP_CALL,CHNG_CALL,BID_QTY_CALL,BID_CALL,ASK_CALL,ASK_QTY_CALL,STRIKE,BID_QTY_PUT,BID_PUT,ASK_PUT,ASK_QTY_PUT,CHNG_PUT,LTP_PUT,IV_PUT,VOLUME_PUT,CHNG_IN_OI_PUT,OI_PUT
,"13,709",-6943.0,313048.0,23.7,1.0,-1.15,1350.0,1.0,1.2,1800.0,23550.0,150,981.95,990.85,150.0,50.6,982.15,0.0,264.0,-62.0,1208.0,
,"45,411",-45685.0,403808.0,25.02,1.0,-1.1,225.0,1.0,1.05,1650.0,23600.0,150,1034.0,1039.3,150.0,60.45,1037.25,0.0,2890.0,-1386.0,11011.0,
,"7,997",-18166.0,144444.0,26.6,1.05,-0.9,450.0,0.95,1.25,1200.0,23650.0,150,1076.7,1092.3,150.0,71.15,1090.3,25.27,384.0,-309.0,837.0,
,"46,786",-25936.0,312202.0,26.76,0.95,-0.9,3600.0,0.8,1.0,4350.0,23700.0,225,1132.8,1139.5,450.0,54.05,1134.95,0.0,4056.0,-3040.0,9592.0,
,"7,112",-13371.0,87717.0,26.63,1.5,-0.3,1350.0,0.65,1.5,750.0,23750.0,75,1180.0,1190.1,150.0,62.4,1188.55,0.0,142.0,-104.0,1044.0,
,"59,029",-8199.0,183283.0,28.94,0.95,-0.8,33900.0,0.95,1.05,1800.0,23800.0,225,1231.3,1239.55,225.0,52.75,1238.95,0.0,3052.0,-2143.0,9261.0,
,"5,473",-4447.0,52005.0,30.11,1.05,-0.55,1125.0,0.9,1.6,1500.0,23850.0,150,1282.1,1293.15,375.0,30.0,1265.0,0.0,32.0,1.0,2092.0,
,"21,514",-8283.0,92650.0,30.38,0.85,-0.8,1800.0,0.85,1.15,300.0,23900.0,225,1329.5,1340.3,300.0,63.9,1335.0,0.0,1794.0,-1077.0,2875.0,
,"5,001",-2451.0,39524.0,32.1,1.05,-0.5,1350.0,0.85,1.05,1875.0,23950.0,"1,125",1336.5,1387.8,150.0,67.05,1382.05,0.0,104.0,-80.0,144.0,
,"98,750",-60314.0,415193.0,32.52,0.9,-0.7,7050.0,0.75,0.9,525.0,24000.0,375,1432.2,1435.95,75.0,49.35,1435.0,0.0,4178.0,-3021.0,13913.0,
