Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Trades,TakerBaseVolume,TakerQuoteVolume,Ignore
2025-07-01 00:00:00,107146.51,107146.51,107123.13,107126.37,8.20753,1751328059999,879331.93753060,1176,1.15717000,123967.05060600,0
2025-07-01 00:01:00,107126.37,107138.24,107116.93,107138.24,7.80796,1751328119999,836404.45575610,979,3.42808000,367226.26822990,0
2025-07-01 00:02:00,107138.24,107150.14,107129.8,107150.14,4.29819,1751328179999,460498.63466960,1078,2.05752000,220438.84501930,0
2025-07-01 00:03:00,107150.14,107160.0,107150.13,107160.0,1.89707,1751328239999,203273.75973430,598,1.62186000,173784.44846780,0
2025-07-01 00:04:00,107159.99,107160.0,107133.08,107139.71,3.22367,1751328299999,345400.66352730,1003,0.32546000,34870.46527940,0
2025-07-01 00:05:00,107139.7,107139.71,107093.35,107098.8,1.91096,1751328359999,204680.79190410,1189,0.58750000,62920.55272090,0
2025-07-01 00:06:00,107098.79,107156.28,107094.0,107156.28,4.96678,1751328419999,532040.49943600,2045,3.94222000,422298.67198380,0
2025-07-01 00:07:00,107156.27,107176.57,107139.14,107176.56,3.85275,1751328479999,412836.35532920,1215,1.07180000,114849.84205800,0
2025-07-01 00:08:00,107176.56,107196.82,107176.56,107188.8,2.77662,1751328539999,297624.17723940,919,1.83135000,196299.19170490,0
2025-07-01 00:09:00,107188.79,107246.73,107188.79,107246.72,3.60618,1751328599999,386653.89688120,1433,2.54091000,272443.07519880,0
2025-07-01 00:10:00,107246.72,107272.0,107222.97,107232.6,8.12333,1751328659999,871169.51920550,1908,4.56222000,489269.01076740,0
2025-07-01 00:11:00,107232.61,107271.49,107232.6,107271.49,7.81104,1751328719999,837698.19423190,1252,7.17727000,769728.38240670,0
2025-07-01 00:12:00,107271.48,107300.9,107271.48,107300.9,4.83537,1751328779999,518770.47449790,835,4.42754000,475013.98024730,0
2025-07-01 00:13:00,107300.89,107359.79,107300.89,107343.51,6.26137,1751328839999,672146.14984370,1911,2.78555000,299000.59589150,0
2025-07-01 00:14:00,107343.51,107343.51,107335.07,107335.08,6.23147,1751328899999,668896.93067170,440,2.12300000,227889.91298860,0
2025-07-01 00:15:00,107335.07,107346.81,107335.07,107346.81,2.61953,1751328959999,281185.74952020,450,1.25547000,134763.56002580,0
2025-07-01 00:16:00,107346.8,107431.83,107346.8,107431.82,12.82463,1751329019999,1377132.01941750,2162,10.69043000,1147973.66011730,0
2025-07-01 00:17:00,107431.82,107438.79,107382.29,107393.65,7.34326,1751329079999,788779.20765850,1734,2.04604000,219791.17361190,0
2025-07-01 00:18:00,107393.65,107433.89,107393.64,107433.88,3.73712,1751329139999,401434.07020150,1078,3.47610000,373396.96895740,0
2025-07-01 00:19:00,107433.89,107433.89,107422.55,107430.63,3.68266,1751329199999,395623.62154310,463,1.91091000,205288.46979450,0
2025-07-01 00:20:00,107430.63,107449.25,107430.63,107441.19,4.60565,1751329259999,494848.20768160,1011,1.84633000,198365.04922260,0
2025-07-01 00:21:00,107441.19,107441.2,107433.51,107433.51,2.95797,1751329319999,317788.59746470,414,1.01017000,108526.45697210,0
2025-07-01 00:22:00,107433.52,107433.52,107412.66,107416.41,3.79389,1751329379999,407539.85672560,713,1.30181000,139834.61122930,0
2025-07-01 00:23:00,107416.42,107416.42,107359.78,107359.79,3.32885,1751329439999,357487.61651930,1378,0.16771000,18005.72380460,0
2025-07-01 00:24:00,107359.79,107359.79,107253.29,107253.3,5.34782,1751329499999,573882.81962440,1923,0.16166000,17343.83335170,0
2025-07-01 00:25:00,107253.3,107253.3,107147.82,107187.9,14.17,1751329559999,1518883.03956380,2736,2.09220000,224220.58202390,0
2025-07-01 00:26:00,107187.91,107216.62,107172.83,107172.83,3.15532,1751329619999,338249.11440400,1387,0.71207000,76335.19083710,0
2025-07-01 00:27:00,107172.84,107172.84,107166.48,107166.48,1.38651,1751329679999,148587.54074910,253,1.04800000,112310.51009500,0
2025-07-01 00:28:00,107166.49,107186.44,107166.48,107186.44,1.51271,1751329739999,162121.15483810,485,0.87267000,93526.73824940,0
2025-07-01 00:29:00,107186.43,107186.44,107169.7,107169.7,5.70724,1751329799999,611729.66907640,604,3.41277000,365797.97865530,0
2025-07-01 00:30:00,107169.7,107169.71,107087.18,107087.18,5.55394,1751329859999,594923.03350040,2919,1.46617000,157031.61121010,0
2025-07-01 00:31:00,107087.19,107089.34,107050.23,107089.34,11.0944,1751329919999,1187856.21658900,2084,3.66684000,392590.12001320,0
2025-07-01 00:32:00,107089.33,107100.0,107089.33,107099.99,1.52883,1751329979999,163727.15598410,460,1.22745000,131449.91388610,0
2025-07-01 00:33:00,107099.99,107100.0,107026.93,107069.21,7.3409,1751330039999,785948.96087080,3504,2.17420000,232728.34347300,0
2025-07-01 00:34:00,107069.21,107144.8,107068.94,107144.8,6.55594,1751330099999,702201.29964300,1802,6.12172000,655682.90212010,0
2025-07-01 00:35:00,107144.99,107242.01,107144.99,107237.31,2.78965,1751330159999,299050.95464270,2456,2.01384000,215867.76782420,0
2025-07-01 00:36:00,107237.31,107264.63,107221.04,107221.06,3.96609,1751330219999,425323.45653490,2263,1.62663000,174446.43379830,0
2025-07-01 00:37:00,107221.06,107221.06,107190.21,107217.47,5.52272,1751330279999,592032.76464740,1643,3.32182000,356074.63050870,0
2025-07-01 00:38:00,107217.48,107232.61,107195.58,107195.58,5.11802,1751330339999,548678.80019640,1084,0.78453000,84114.92476410,0
2025-07-01 00:39:00,107195.59,107232.6,107195.59,107204.93,3.08382,1751330399999,330632.50348780,1461,1.36403000,146233.42276660,0
2025-07-01 00:40:00,107204.93,107217.28,107204.93,107214.38,0.92983,1751330459999,99690.08982310,599,0.48922000,52450.30685470,0
2025-07-01 00:41:00,107214.38,107222.21,107190.0,107222.21,3.71995,1751330519999,398791.27260090,1065,1.14329000,122561.26326630,0
2025-07-01 00:42:00,107222.2,107298.8,107222.2,107298.79,1.56364,1751330579999,167718.55534360,1629,1.24935000,134006.15476700,0
