Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Trades,TakerBaseVolume,TakerQuoteVolume,Ignore
2025-07-13 00:00:00,117420.0,117458.48,117420.0,117458.48,0.78612,1752364859999,92325.73049990,975,0.61357000,72059.21886660,0
2025-07-13 00:01:00,117458.47,117458.48,117429.14,117429.14,4.32185,1752364919999,507587.51848230,1096,0.80365000,94375.79538890,0
2025-07-13 00:02:00,117429.14,117429.15,117400.0,117407.84,10.58878,1752364979999,1243243.41716830,1078,2.06073000,241934.81290480,0
2025-07-13 00:03:00,117407.84,117407.85,117385.3,117385.31,1.36435,1752365039999,160174.96866770,694,0.59961000,70396.26667340,0
2025-07-13 00:04:00,117385.3,117385.31,117377.5,117377.51,5.69007,1752365099999,667906.85629670,539,0.41925000,49210.75360030,0
2025-07-13 00:05:00,117377.51,117377.51,117345.76,117377.48,1.99364,1752365159999,233969.75352590,809,1.12997000,132607.48630250,0
2025-07-13 00:06:00,117377.47,117377.47,117335.57,117335.58,1.66886,1752365219999,195853.25200910,1095,0.19997000,23464.72767220,0
2025-07-13 00:07:00,117335.57,117347.31,117330.0,117330.0,1.55634,1752365279999,182619.60412080,1159,0.48473000,56877.09245080,0
2025-07-13 00:08:00,117329.83,117329.83,117312.79,117312.79,0.89556,1752365339999,105067.66824310,771,0.13177000,15459.91003280,0
2025-07-13 00:09:00,117312.79,117312.79,117300.0,117300.01,0.85749,1752365399999,100584.97116370,455,0.07908000,9276.08588080,0
2025-07-13 00:10:00,117300.01,117300.01,117300.0,117300.0,0.60048,1752365459999,70436.30700830,166,0.30083000,35287.36200830,0
2025-07-13 00:11:00,117300.0,117302.19,117300.0,117302.19,1.82712,1752365519999,214321.23121870,359,0.76178000,89356.84819410,0
2025-07-13 00:12:00,117302.19,117303.61,117302.18,117303.6,2.49021,1752365579999,292110.15195730,343,0.31833000,37340.91050630,0
2025-07-13 00:13:00,117303.61,117308.48,117298.8,117308.47,5.32475,1752365639999,624592.82611450,1198,3.29193000,386140.86832430,0
2025-07-13 00:14:00,117308.48,117320.0,117308.47,117319.99,1.19468,1752365699999,140146.88529730,502,1.00674000,118099.61533010,0
2025-07-13 00:15:00,117320.0,117320.0,117310.0,117310.01,1.04961,1752365759999,123139.09469620,325,0.22334000,26202.22891990,0
2025-07-13 00:16:00,117310.0,117310.01,117260.52,117260.53,1.29234,1752365819999,151572.81041450,1447,0.35475000,41608.30893530,0
2025-07-13 00:17:00,117260.52,117260.53,117250.54,117250.54,0.92271,1752365879999,108193.88507400,571,0.16733000,19620.09397930,0
2025-07-13 00:18:00,117250.54,117278.8,117248.21,117258.61,3.30322,1752365939999,387310.32353130,1127,2.79209000,327375.22926870,0
2025-07-13 00:19:00,117258.61,117258.62,117256.02,117256.02,0.71231,1752365999999,83524.11260390,249,0.49815000,58412.12674880,0
2025-07-13 00:20:00,117256.03,117312.71,117256.02,117312.71,9.03361,1752366059999,1059330.05534920,1958,8.60320000,1008849.01350510,0
2025-07-13 00:21:00,117312.71,117359.09,117312.7,117359.09,1.76738,1752366119999,207382.66984630,958,1.02847000,120677.80866920,0
2025-07-13 00:22:00,117359.09,117410.34,117359.08,117410.34,4.34588,1752366179999,510138.72711820,897,3.78201000,443941.73110480,0
2025-07-13 00:23:00,117410.34,117410.34,117375.24,117400.0,2.46525,1752366239999,289392.23244070,1163,0.95452000,112040.73159970,0
2025-07-13 00:24:00,117400.0,117400.0,117365.52,117365.52,1.25168,1752366299999,146923.92041850,1209,0.18489000,21703.54097180,0
2025-07-13 00:25:00,117365.52,117398.56,117365.52,117398.55,2.75393,1752366359999,323218.91878010,705,2.56019000,300479.53975330,0
2025-07-13 00:26:00,117398.55,117412.63,117381.05,117381.05,2.23899,1752366419999,262869.96950530,1100,1.16805000,137134.75085520,0
2025-07-13 00:27:00,117381.05,117381.06,117370.72,117370.73,0.97743,1752366479999,114729.83154650,349,0.30100000,35331.37728050,0
2025-07-13 00:28:00,117370.73,117370.73,117370.72,117370.73,0.9981,1752366539999,117147.72021800,354,0.45860000,53826.21677800,0
2025-07-13 00:29:00,117370.72,117392.79,117370.72,117392.79,2.56256,1752366599999,300774.93207340,641,1.83637000,215539.07819510,0
2025-07-13 00:30:00,117392.79,117392.79,117360.0,117360.0,3.40454,1752366659999,399643.04879820,914,0.16754000,19665.66935310,0
2025-07-13 00:31:00,117360.0,117418.48,117360.0,117418.48,2.85214,1752366719999,334762.60365370,987,2.54510000,298720.45180000,0
