Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Trades,TakerBaseVolume,TakerQuoteVolume,Ignore
2025-04-03 19:08:00,82358.18,82358.19,82304.03,82304.03,13.1405,1743707339999,1081953.54191940,2681,5.06756000,417216.55522150,0
2025-04-03 19:09:00,82304.03,82311.12,82230.43,82257.99,48.99791,1743707399999,4031604.37270610,2817,8.14508000,670165.05400040,0
2025-04-03 19:10:00,82257.99,82276.23,82194.0,82194.0,17.82459,1743707459999,1465879.04344420,2348,5.86679000,482536.88452530,0
2025-04-03 19:11:00,82194.0,82197.94,82140.72,82192.07,20.76026,1743707519999,1705829.28097550,2578,7.73323000,635437.74331020,0
2025-04-03 19:12:00,82192.07,82226.42,82181.18,82204.69,10.37974,1743707579999,853272.59622870,2149,8.19782000,673892.44142160,0
2025-04-03 19:13:00,82204.68,82285.62,82204.68,82236.98,17.82956,1743707639999,1466392.04672710,2422,4.20472000,345816.43563830,0
2025-04-03 19:14:00,82236.98,82250.01,82186.95,82193.99,8.35864,1743707699999,687327.31695880,2414,2.42019000,199015.10203640,0
2025-04-03 19:15:00,82193.98,82197.31,82124.16,82124.16,7.75311,1743707759999,637102.81150750,1870,1.92747000,158407.36105090,0
2025-04-03 19:16:00,82124.15,82132.72,82016.0,82016.0,15.62784,1743707819999,1282710.31615200,2164,2.58022000,211777.33488940,0
2025-04-03 19:17:00,82016.0,82016.01,81862.0,81869.41,24.66313,1743707879999,2021060.96194130,3318,4.27522000,350164.70883230,0
2025-04-03 19:18:00,81869.4,81933.46,81829.57,81933.46,16.78243,1743707939999,1374071.99072950,2943,11.96375000,979571.28526200,0
2025-04-03 19:19:00,81933.46,81980.97,81933.44,81979.99,14.00914,1743707999999,1148173.02231470,3024,9.10984000,746644.01846960,0
2025-04-03 19:20:00,81980.0,82049.77,81979.99,82007.85,14.52122,1743708059999,1190953.47510020,2420,7.55556000,619640.69732660,0
2025-04-03 19:21:00,82007.85,82007.85,81948.06,82004.87,13.3902,1743708119999,1097694.03727210,2607,8.20786000,672855.38399380,0
2025-04-03 19:22:00,82005.57,82024.0,81922.0,81929.2,13.66599,1743708179999,1120352.47365620,2979,4.73840000,388468.12627370,0
2025-04-03 19:23:00,81929.19,82009.26,81918.58,82009.26,9.26437,1743708239999,759173.91515770,2235,7.71812000,632474.65044670,0
2025-04-03 19:24:00,82009.26,82034.11,82009.25,82015.55,7.02635,1743708299999,576304.33105350,2382,2.49561000,204682.87957930,0
2025-04-03 19:25:00,82015.54,82055.75,81986.01,82049.97,11.6734,1743708359999,957526.86995610,3388,4.75236000,389785.00038790,0
2025-04-03 19:26:00,82049.97,82106.51,81996.63,82106.51,8.21928,1743708419999,674409.54556730,3571,4.62832000,379786.92226840,0
2025-04-03 19:27:00,82106.51,82114.28,81991.35,81991.35,9.35943,1743708479999,768038.29579890,2976,2.25549000,185134.72439300,0
2025-04-03 19:28:00,81991.34,81991.34,81939.23,81960.15,11.03643,1743708539999,904540.22615900,2870,3.21399000,263409.09309580,0
2025-04-03 19:29:00,81960.15,81979.24,81900.0,81931.93,57.07586,1743708599999,4676222.84969200,2404,11.14142000,912774.75648940,0
2025-04-03 19:30:00,81931.92,81985.62,81878.18,81900.0,25.46556,1743708659999,2086534.01937290,3967,8.50797000,697094.48294240,0
2025-04-03 19:31:00,81900.0,81943.4,81891.1,81943.39,7.87733,1743708719999,645172.67167850,3638,2.99868000,245602.09411550,0
2025-04-03 19:32:00,81943.39,82007.16,81892.89,81906.96,20.1379,1743708779999,1650168.42356130,5884,6.51897000,534258.68316670,0
2025-04-03 19:33:00,81906.96,81990.57,81906.96,81989.6,12.95091,1743708839999,1061383.76901370,3638,6.57991000,539217.09043350,0
2025-04-03 19:34:00,81989.6,81989.6,81950.07,81959.83,14.10669,1743708899999,1156306.23567860,4200,6.19511000,507786.26718510,0
2025-04-03 19:35:00,81959.83,82081.04,81950.75,82081.04,23.21246,1743708959999,1903732.00419960,5426,15.63875000,1282678.65857790,0
2025-04-03 19:36:00,82081.04,82100.0,82065.43,82065.43,28.44158,1743709019999,2334684.23664390,4808,19.39886000,1592371.88844930,0
2025-04-03 19:37:00,82065.43,82156.67,82065.43,82118.01,29.24665,1743709079999,2401620.68101570,5842,20.98734000,1723380.94098090,0
2025-04-03 19:38:00,82118.01,82139.36,82076.0,82139.36,22.55817,1743709139999,1852320.19741340,4752,17.73383000,1456198.11553230,0
2025-04-03 19:39:00,82139.36,82209.59,82139.36,82207.29,22.16405,1743709199999,1821535.68079950,4574,17.07990000,1403704.36162640,0
2025-04-03 19:40:00,82207.29,82219.75,82160.0,82193.74,24.02679,1743709259999,1974899.23866450,5538,17.04073000,1400652.15856140,0
2025-04-03 19:41:00,82193.74,82207.52,82150.93,82189.47,26.26471,1743709319999,2158530.40608950,5655,17.25868000,1418341.74701830,0
2025-04-03 19:42:00,82189.47,82215.14,82164.0,82203.11,19.51337,1743709379999,1603750.63987390,4151,15.63400000,1284901.64891210,0
