Timestamp,Signal Type,Price,Additional Info
2025-07-06 15:41:40,RANGE | Signal: HOLD,107334.0,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107331.02,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107331.01,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107336.45,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107347.65,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107347.09,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107376.97,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107356.52,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107356.53,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107336.46,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107275.0,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107221.87,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107211.4,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107200.97,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107229.98,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107232.6,
2025-07-06 15:41:40,RANGE | Signal: HOLD,107237.71,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107220.0,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107220.0,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107220.0,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107219.18,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107219.17,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107190.21,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107237.2,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107280.72,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107294.5,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107258.65,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107290.32,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107268.0,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107262.47,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107291.75,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107307.85,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107251.01,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107279.38,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107236.44,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107232.6,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107274.61,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107310.72,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107317.4,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107293.0,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107289.39,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107298.8,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107311.84,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107311.83,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107319.64,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107319.64,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107330.47,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107322.58,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107330.38,
2025-07-06 15:41:41,RANGE | Signal: BUY,107389.99,
2025-07-06 15:41:41,RANGE | Signal: HOLD,107399.99,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107393.0,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107402.17,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107372.9,
2025-07-06 15:41:42,RANGE | Signal: SELL,107285.59,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107321.01,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107319.13,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107312.4,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107302.92,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107277.81,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107282.39,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107260.87,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107269.97,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107269.97,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107256.5,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107228.01,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107212.27,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107169.51,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107166.67,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107125.01,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107116.76,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107126.61,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107106.62,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107100.38,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107129.78,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107123.01,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107100.39,
2025-07-06 15:41:42,RANGE | Signal: HOLD,107117.9,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107101.69,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107095.65,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107103.55,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107087.7,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107076.95,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107105.44,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107104.3,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107102.15,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107129.29,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107135.84,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107124.41,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107112.59,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107087.59,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107105.23,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107105.3,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107103.45,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107098.92,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107141.04,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107141.02,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107121.39,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107169.7,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107141.49,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107122.47,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107141.49,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107173.38,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107188.07,
2025-07-06 15:41:43,RANGE | Signal: HOLD,107188.08,
2025-07-06 15:41:44,RANGE | Signal: BUY,107222.5,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107212.68,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107212.69,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107212.69,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107204.71,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107194.97,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107194.97,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107171.42,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107162.01,
2025-07-06 15:41:44,RANGE | Signal: SELL,107162.0,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107159.02,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107168.26,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107168.25,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107180.73,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107180.73,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107180.73,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107163.1,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107177.03,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107157.95,
2025-07-06 15:41:44,RANGE | Signal: BUY,107112.32,
2025-07-06 15:41:44,RANGE | Signal: SELL,107120.17,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107105.95,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107116.63,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107116.62,
2025-07-06 15:41:44,RANGE | Signal: HOLD,107120.55,
