Timestamp,Signal Type,Price,Additional Info
2025-03-28 11:52:24,BUY,86103.31,1743142928761
2025-03-28 11:52:25,BUY,86103.31,1743142929755
2025-03-28 11:52:26,SELL,86103.31,1743142930742
2025-03-28 11:52:27,SELL,86103.31,1743142931741
2025-03-28 11:52:28,SELL,86103.31,1743142932705
2025-03-28 11:52:29,SELL,86103.31,1743142933728
2025-03-28 11:52:30,SELL,86103.31,1743142934764
2025-03-28 11:52:31,SELL,86103.31,1743142935763
2025-03-28 11:52:32,BUY,86117.49,1743142936771
2025-03-28 11:52:33,BUY,86117.99,1743142937740
2025-03-28 11:52:34,BUY,86117.99,1743142938667
2025-03-28 11:52:35,BUY,86117.98,1743142939767
2025-03-28 11:52:36,BUY,86117.98,1743142940763
2025-03-28 11:52:37,BUY,86117.99,1743142941756
2025-03-28 11:52:38,SELL,86117.98,1743142942761
2025-03-28 11:52:39,SELL,86117.98,1743142943690
2025-03-28 11:52:40,BUY,86117.99,1743142944497
2025-03-28 11:52:41,SELL,86115.87,1743142945775
2025-03-28 11:52:42,SELL,86107.46,1743142946646
2025-03-28 11:52:43,SELL,86107.46,1743142947747
2025-03-28 11:52:44,SELL,86104.45,1743142948773
2025-03-28 11:52:45,SELL,86103.83,1743142949734
2025-03-28 11:52:46,SELL,86103.83,1743142950757
2025-03-28 11:52:47,SELL,86103.69,1743142951776
2025-03-28 11:52:48,SELL,86103.69,1743142952771
2025-03-28 11:52:49,SELL,86103.69,1743142953760
2025-03-28 11:52:50,SELL,86103.69,1743142954755
2025-03-28 11:52:51,SELL,86103.69,1743142955772
2025-03-28 11:52:52,SELL,86103.69,1743142956741
2025-03-28 11:52:53,SELL,86103.69,1743142957737
2025-03-28 11:52:54,SELL,86103.69,1743142958725
2025-03-28 11:52:55,SELL,86103.69,1743142959727
2025-03-28 11:52:56,SELL,86103.69,1743142960763
2025-03-28 11:52:57,SELL,86103.69,1743142961760
2025-03-28 11:52:58,SELL,86103.69,1743142962741
2025-03-28 11:52:59,SELL,86103.69,1743142963757
2025-03-28 11:53:00,SELL,86103.69,1743142964766
2025-03-28 11:53:01,SELL,86103.69,1743142965737
2025-03-28 11:53:02,SELL,86103.68,1743142966779
2025-03-28 11:53:03,BUY,86103.69,1743142967758
2025-03-28 11:53:04,BUY,86103.69,1743142968767
2025-03-28 11:53:05,BUY,86103.69,1743142969748
2025-03-28 11:53:06,BUY,86103.69,1743142970758
2025-03-28 11:53:07,SELL,86103.69,1743142971765
2025-03-28 11:53:08,SELL,86103.69,1743142972778
2025-03-28 11:53:09,SELL,86103.69,1743142973742
2025-03-28 11:53:10,SELL,86103.69,1743142974785
2025-03-28 11:53:11,SELL,86093.79,1743142975776
2025-03-28 11:53:12,SELL,86093.47,1743142976655
2025-03-28 11:53:13,SELL,86089.6,1743142977723
2025-03-28 11:53:14,SELL,86089.59,1743142978723
2025-03-28 11:53:15,SELL,86089.6,1743142979748
2025-03-28 11:53:16,SELL,86088.9,1743142980779
2025-03-28 11:53:17,SELL,86088.9,1743142981786
2025-03-28 11:53:18,SELL,86088.9,1743142982712
2025-03-28 11:53:19,SELL,86088.9,1743142983728
2025-03-28 11:53:20,SELL,86088.9,1743142984752
2025-03-28 11:53:21,SELL,86088.9,1743142985750
2025-03-28 11:53:22,SELL,86088.9,1743142986687
2025-03-28 11:53:23,SELL,86088.9,1743142987787
2025-03-28 11:53:24,SELL,86088.9,1743142988776
2025-03-28 11:53:25,SELL,86088.9,1743142989735
2025-03-28 11:53:26,SELL,86088.9,1743142990632
2025-03-28 11:53:27,SELL,86088.9,1743142991755
2025-03-28 11:53:28,SELL,86088.9,1743142992788
2025-03-28 11:53:29,SELL,86088.9,1743142993743
2025-03-28 11:53:30,SELL,86088.89,1743142994770
2025-03-28 11:53:31,BUY,86088.9,1743142995777
2025-03-28 11:53:32,BUY,86088.9,1743142996794
2025-03-28 11:53:33,BUY,86088.9,1743142997792
2025-03-28 11:53:34,SELL,86084.58,1743142998790
2025-03-28 11:53:35,SELL,86068.58,1743142999796
2025-03-28 11:53:36,SELL,86068.58,1743143000761
2025-03-28 11:53:37,SELL,86068.57,1743143001776
2025-03-28 11:53:38,SELL,86068.58,1743143002779
2025-03-28 11:53:39,BUY,86068.58,1743143003785
2025-03-28 11:53:40,BUY,86068.58,1743143004797
2025-03-28 11:53:41,BUY,86068.58,1743143005709
2025-03-28 11:53:42,SELL,86068.58,1743143006725
2025-03-28 11:53:43,SELL,86068.58,1743143007722
2025-03-28 11:53:44,SELL,86068.58,1743143008746
2025-03-28 11:54:00,SELL,86068.58,1743143009710
