Price,Close,High,Low,Open,Volume
Ticker,IRCON.NS,IRCON.NS,IRCON.NS,IRCON.NS,IRCON.NS
Date,,,,,
2024-02-26,228.31307983398438,233.77723819183439,224.52263873770502,227.13164384323204,15858772
2024-02-27,227.96849060058594,234.95866194508167,226.98395815577476,229.39605964100758,16544325
2024-02-28,220.04299926757812,229.7898643669658,214.48039701779769,229.24838354582306,12201435
2024-02-29,225.60560607910156,226.78705704345072,214.2342682408119,219.5507374892909,13726893
2024-03-01,223.98114013671875,227.87004044442796,223.09506691012245,226.63937483928117,4532997
2024-03-04,221.81517028808594,225.9009740624948,220.87986743858224,225.8517444340423,4448322
2024-03-05,220.9290771484375,226.6885980259587,218.96001223615988,221.0275364031606,5239299
2024-03-06,216.25254821777344,220.9783070169515,213.69277284268293,220.92907738953622,6411612
2024-03-07,220.14146423339844,223.39040933566363,216.35100825039154,216.5971413655797,6066197
2024-03-11,215.56338500976562,223.78423728477856,213.79122352872872,221.07677294570854,6589765
2024-03-12,204.3397216796875,215.61261570635548,202.91215257111796,215.61261570635548,10444317
2024-03-13,182.33541870117188,207.6379013220878,178.29884440493626,203.89668978478988,22208557
2024-03-14,205.27500915527344,210.34534509892057,172.53930625641087,176.32976207486186,38700567
2024-03-15,213.44664001464844,215.71106767383043,197.0541655663994,203.6997596615015,31159107
2024-03-18,213.24974060058594,220.14146794195406,212.11751923798286,218.56620996910343,13841785
2024-03-19,211.47756958007812,214.33270762622516,209.55773434058113,212.51133163912195,6829204
2024-03-20,207.04718017578125,214.82498063197244,205.7672849680759,212.6590122158105,8499949
2024-03-21,212.708251953125,215.0218943397344,210.24692067623803,210.49305380392676,7383003
2024-03-22,215.76028442382812,219.99377704217073,211.67448068939788,214.28348572134394,9343177
2024-03-26,221.9628448486328,224.47340567987027,213.74200764551216,216.59714583145376,17124450
2024-03-27,219.05848693847656,224.91645246104054,217.6309177809604,223.6857868040828,7884385
2024-03-28,216.25254821777344,221.4705732455581,210.1976796150214,220.9783070169515,8713396
2024-04-01,223.68577575683594,224.4734047429448,217.13864079427606,218.27084713365088,7621644
2024-04-02,228.5592041015625,232.1035269592542,222.2582023798585,223.83346032167103,15300004
2024-04-03,228.8545684814453,232.59579485294682,225.21180136555168,228.31307262114836,7524075
2024-04-04,227.27932739257812,233.72800307226598,225.26103281844965,230.2821394168961,8425101
2024-04-05,231.80816650390625,233.82646106714574,224.17803987960994,227.37777039947613,12658210
2024-04-08,228.95303344726562,235.84476087405116,227.9192713286931,234.02336975929128,7346009
2024-04-09,226.49169921875,231.21745811040807,224.6210784997742,230.1836960055495,5618786
2024-04-10,224.47340393066406,227.52546060725172,223.3904122008366,227.3777717225807,4079825
2024-04-12,222.75047302246094,229.1991637542957,221.6674812881595,224.86721183986336,5707513
2024-04-15,215.31724548339844,220.2399077716461,208.7208810217012,212.85591433927462,10458385
2024-04-16,217.08941650390625,219.64920701600965,212.21598362776106,213.54509349065134,4858822
2024-04-18,218.1724090576172,222.94738269190083,215.66184816599701,219.35384505874026,6491137
2024-04-19,213.93890380859375,216.5971384118206,211.1822099515251,213.64354106984123,6534549
2024-04-22,218.9108123779297,220.09224840032599,215.71108167993702,216.30179217974816,4618139
2024-04-23,224.3257293701172,226.2455646826745,219.64920013612647,220.04300711514267,8776551
2024-04-24,237.7153778076172,241.06279744361098,224.96568447124173,226.4424832752105,30271458
2024-04-25,240.02902221679688,242.19499067355036,236.68160276292926,241.21045819113755,18885611
2024-04-26,246.92076110839844,249.28363316726814,238.84759738069044,241.112010177618,26239299
2024-04-29,251.05577087402344,262.7717008390354,250.07123843922335,254.0093681784237,28324974
2024-04-30,246.67462158203125,252.43412770976883,244.55786768733893,252.04032071775686,11203254
2024-05-02,247.51145935058594,251.44958926879906,242.9826189583049,247.8068220990066,8278481
2024-05-03,245.59161376953125,249.77587663299033,239.14292329305744,249.08670693062223,8323949
2024-05-06,242.0473175048828,247.36378691605884,239.24139391284498,247.11765379474934,8367504
2024-05-07,229.7898712158203,241.01355032530344,228.41153177456584,241.01355032530344,9068131
2024-05-08,234.8109893798828,235.6478479716876,225.11333873600697,229.24838704519183,6393202
2024-05-09,222.75047302246094,234.90945512804495,221.51980742565178,232.4481239344266,6647815
2024-05-10,224.76876831054688,226.73783327161559,216.15410910587133,224.37494630466907,6185766
2024-05-13,221.12600708007812,225.45794410174446,215.80952252864344,225.45794410174446,4942540
2024-05-14,238.6014404296875,240.02900944869327,222.0120629743777,222.11052222649093,16359637
2024-05-15,238.99525451660156,240.8658601803308,235.10635430657092,239.4875207462959,6835404
2024-05-16,257.3567810058594,259.4243051968028,239.97978896288683,240.71818831354187,37842759
2024-05-17,262.9686584472656,265.62687838917196,255.09239779767654,258.1444548085023,25160459
2024-05-21,285.2682800292969,296.7873218191902,268.23588050478253,271.58328485667283,47422908
2024-05-22,274.7337646484375,287.6803902371639,269.61421400109504,280.4932854165501,31008571
2024-05-23,276.1121520996094,287.77883820745546,273.25698380845205,276.35828522501623,27492536
2024-05-24,267.7436218261719,278.52423453021737,265.8237714585303,278.08121293844806,13202136
2024-05-27,272.1247863769531,277.93352231819716,269.22043342910536,269.7126996960845,12891035
2024-05-28,266.6606140136719,276.1613459305146,264.10082369290745,273.2077486478353,8107909
2024-05-29,268.1374206542969,270.2541594275895,259.6704355155801,262.8701660006062,8547745
2024-05-30,266.3160400390625,272.1740204056453,264.1500565306922,267.30057253458585,10751659
2024-05-31,266.61138916015625,270.94335619949254,258.09518903856804,266.31604142817764,14815275
2024-06-03,282.5115966796875,294.3259860016517,276.85053512957967,294.3259860016517,21551402
2024-06-04,233.6295623779297,282.51160941472097,226.0486652258262,282.51160941472097,34873825
2024-06-05,234.5648651123047,244.01638300002114,209.70541980659348,233.62956225387222,20916229
2024-06-06,245.14859008789062,263.8547074038341,239.83212064931087,240.96432700406118,24170756
2024-06-07,247.01919555664062,249.97279302454518,241.94885924584727,246.1331223253787,10993274
2024-06-10,247.75759887695312,254.00938629288362,245.19782337758835,248.9390499011856,10052858
2024-06-11,267.6451721191406,271.1402505540779,252.04032563607848,252.04032563607848,33027994
2024-06-12,266.512939453125,268.58043350909116,264.839222312486,267.79281958734646,9969797
2024-06-13,263.70703125,269.5649814891766,261.0980261824308,268.1866420238143,7161236
2024-06-14,264.9869079589844,267.5466983868826,260.95031882793864,264.83923409777896,7934260
2024-06-18,269.7126770019531,274.19228763632094,267.005212761379,267.7928267040549,13291010
2024-06-19,263.65777587890625,271.04176919193253,259.17816528722193,269.7618890358929,6974875
2024-06-20,262.87017822265625,266.75909362656625,259.9165807145365,264.9869170943659,5465629
2024-06-21,272.1247863769531,281.5270901035836,261.8856540328969,261.8856540328969,40578712
2024-06-24,275.12762451171875,283.10231388088897,267.89130448640867,271.73097530222174,15181132
2024-06-25,267.6943664550781,277.34280246750694,266.21756778388914,275.66908528860773,8326504
2024-06-26,266.2175598144531,271.7309473642868,264.6423019365657,267.7928176923406,7105983
2024-06-27,265.3315124511719,271.18949292610523,261.4425970037055,267.34979208610633,7785256
2024-06-28,265.47918701171875,269.51577633766647,263.3624481107791,265.823779401534,6588587
2024-07-01,267.054443359375,270.6479810120598,263.55936496680783,265.5284299869691,5532987
2024-07-02,270.9433288574219,273.35541521329304,266.51293305154826,267.3990062036141,9278295
2024-07-03,272.0263366699219,274.48766809127676,269.71270917028795,272.3217144678142,6450234
2024-07-04,275.4229431152344,279.6072058792728,272.7646935763332,273.7000113888656,11850880
2024-07-05,302.9898681640625,310.91534254298665,282.06855314054883,283.54535184809095,116642523
2024-07-08,321.8929138183594,329.3261221965039,305.9434752543007,307.07568162344523,69690983
2024-07-09,307.7648620605469,331.49210105378825,298.5102626733559,324.9449359657125,37087245
2024-07-10,314.3612060546875,321.25293335349846,301.75920244079464,310.1277284464937,35028228
2024-07-11,314.9519348144531,319.6777087528569,306.7803272364369,316.62565205117784,20838354
2024-07-12,331.59051513671875,344.04487459034647,314.06584965090536,316.5271807610222,87655276
2024-07-15,330.2614440917969,346.161638195933,327.8493274124352,334.93797353686915,24120169
2024-07-16,318.7916259765625,331.09828278612014,317.0194794142057,331.09828278612014,17704501
2024-07-18,307.9617614746094,318.2009237601701,303.1375581163441,317.511738975183,16199861
2024-07-19,311.2107238769531,324.40345313968527,299.93781492869067,304.2205372387337,35548908
2024-07-22,314.01666259765625,317.8070888033584,303.777500244785,311.2107388768319,14899744
2024-07-23,288.7141418457031,322.87742998343015,257.9475026890851,316.87177601094913,49274362
2024-07-24,287.8772888183594,300.23318936991694,286.4989493665985,290.1909461367866,17445878
